lineNo,url,direction,from,to
270,https://tfl.gov.uk/bus/route/270?direction=inbound,inbound,Three Kings Pond,Putney Bridge Station
273,https://tfl.gov.uk/bus/route/273?direction=inbound,inbound,Station Square / Petts Wood Station,Conington Road
274,https://tfl.gov.uk/bus/route/274?direction=outbound,outbound,Angel Islington,Lancaster Gate Station
274,https://tfl.gov.uk/bus/route/274?direction=inbound,inbound,Lancaster Gate Station,Angel Islington / City Road
275,https://tfl.gov.uk/bus/route/275?direction=outbound,outbound,St James Street Station,Barkingside Tesco
275,https://tfl.gov.uk/bus/route/275?direction=inbound,inbound,Barkingside Tesco,St James Street Station
276,https://tfl.gov.uk/bus/route/276?direction=inbound,inbound,Stoke Newington Common,Gateway Surgical Centre
276,https://tfl.gov.uk/bus/route/276?direction=outbound,outbound,Gateway Surgical Centre,Stoke Newington Common
277,https://tfl.gov.uk/bus/route/277?direction=outbound,outbound,Dalston Junction Station,Isle of Dogs Asda
277,https://tfl.gov.uk/bus/route/277?direction=inbound,inbound,Crossharbour Asda,Forest Road
279,https://tfl.gov.uk/bus/route/279?direction=inbound,inbound,Manor House Station,Waltham Cross Bus Station
278,https://tfl.gov.uk/bus/route/278?direction=outbound,outbound,Heathrow Central Bus Station,Ruislip Station
278,https://tfl.gov.uk/bus/route/278?direction=inbound,inbound,Brickwall Lane,Heathrow Central Bus Station
280,https://tfl.gov.uk/bus/route/280?direction=outbound,outbound,St George's Hospital,Belmont Station / Brighton Road
280,https://tfl.gov.uk/bus/route/280?direction=inbound,inbound,Belmont Station / Brighton Road,Blackshaw Road
279,https://tfl.gov.uk/bus/route/279?direction=outbound,outbound,Waltham Cross Bus Station,Manor House Station
281,https://tfl.gov.uk/bus/route/281?direction=inbound,inbound,Tolworth Station,Hounslow Bus Station
282,https://tfl.gov.uk/bus/route/282?direction=inbound,inbound,Mount Vernon Hospital,Ealing Hospital
281,https://tfl.gov.uk/bus/route/281?direction=outbound,outbound,Hounslow Bus Station,Tolworth Station
282,https://tfl.gov.uk/bus/route/282?direction=outbound,outbound,Ealing Hospital,Mount Vernon Hospital
283,https://tfl.gov.uk/bus/route/283?direction=outbound,outbound,Brunel Road,Hammersmith Bus Station
284,https://tfl.gov.uk/bus/route/284?direction=outbound,outbound,Lewisham Station,Grove Park Cemetery
284,https://tfl.gov.uk/bus/route/284?direction=inbound,inbound,Grove Park Cemetery,Lewisham Station
285,https://tfl.gov.uk/bus/route/285?direction=outbound,outbound,Heathrow Central Bus Station,Kingston / Wood Street
285,https://tfl.gov.uk/bus/route/285?direction=inbound,inbound,Kingston Station,Heathrow Central Bus Station
286,https://tfl.gov.uk/bus/route/286?direction=outbound,outbound,Queen Mary's Hospital / Cancer Unit,Greenwich Town Centre / Cutty Sark
287,https://tfl.gov.uk/bus/route/287?direction=outbound,outbound,Barking Station,Abbey Wood Lane
287,https://tfl.gov.uk/bus/route/287?direction=inbound,inbound,Abbey Wood Lane,Barking Station
283,https://tfl.gov.uk/bus/route/283?direction=inbound,inbound,Hammersmith Bus Station,Brunel Road
288,https://tfl.gov.uk/bus/route/288?direction=outbound,outbound,Queensbury Morrisons,Meadfield
288,https://tfl.gov.uk/bus/route/288?direction=inbound,inbound,Meadfield,Queensbury Morrisons
289,https://tfl.gov.uk/bus/route/289?direction=outbound,outbound,Elmers End Interchange,Purley Station
289,https://tfl.gov.uk/bus/route/289?direction=inbound,inbound,Purley Station,Elmers End Interchange
286,https://tfl.gov.uk/bus/route/286?direction=inbound,inbound,Greenwich Town Centre / Cutty Sark,Queen Mary's Hospital / Frognal Avenue
290,https://tfl.gov.uk/bus/route/290?direction=outbound,outbound,Staines Bus Station,Arragon Road
290,https://tfl.gov.uk/bus/route/290?direction=inbound,inbound,Arragon Road,Staines Bus Station
291,https://tfl.gov.uk/bus/route/291?direction=outbound,outbound,Queen Elizabeth Hospital / West Entrance,Garland Road Clinic
291,https://tfl.gov.uk/bus/route/291?direction=inbound,inbound,Garland Road Clinic,Queen Elizabeth Hospital / West Entrance
292,https://tfl.gov.uk/bus/route/292?direction=outbound,outbound,Wetherby Road,Colindale Superstores
293,https://tfl.gov.uk/bus/route/293?direction=outbound,outbound,London Road / Morden Station,Epsom Hospital
294,https://tfl.gov.uk/bus/route/294?direction=outbound,outbound,Havering Park,Wincanton Road
293,https://tfl.gov.uk/bus/route/293?direction=inbound,inbound,Epsom Hospital,Morden Station
292,https://tfl.gov.uk/bus/route/292?direction=inbound,inbound,Colindale Superstores,Rossington Avenue
294,https://tfl.gov.uk/bus/route/294?direction=inbound,inbound,Wincanton Road,Havering Park
295,https://tfl.gov.uk/bus/route/295?direction=outbound,outbound,Ladbroke Grove Sainsbury's,Clapham Junction Stn / the Falcon
295,https://tfl.gov.uk/bus/route/295?direction=inbound,inbound,Clapham Junction Station / Falcon Road,Kensal House
297,https://tfl.gov.uk/bus/route/297?direction=outbound,outbound,Pound Lane / Willesden Bus Garage,Ealing Broadway Station / Haven Green
296,https://tfl.gov.uk/bus/route/296?direction=outbound,outbound,Romford Station,Roden Street
296,https://tfl.gov.uk/bus/route/296?direction=inbound,inbound,Roden Street,Romford Station
298,https://tfl.gov.uk/bus/route/298?direction=outbound,outbound,Arnos Grove Station,Potters Bar Station
297,https://tfl.gov.uk/bus/route/297?direction=inbound,inbound,Ealing Broadway Stn / Haven Green,Meyrick Road
298,https://tfl.gov.uk/bus/route/298?direction=inbound,inbound,Potters Bar Station,Arnos Grove Station
299,https://tfl.gov.uk/bus/route/299?direction=outbound,outbound,Queens Avenue,Cockfosters Station
299,https://tfl.gov.uk/bus/route/299?direction=inbound,inbound,Cockfosters Station,Muswell Hill
300,https://tfl.gov.uk/bus/route/300?direction=inbound,inbound,Canning Town Bus Station,Wordsworth Health Centre
300,https://tfl.gov.uk/bus/route/300?direction=outbound,outbound,Wordsworth Health Centre,Canning Town Station
301,https://tfl.gov.uk/bus/route/301?direction=outbound,outbound,Bexleyheath Clock Tower,Beresford Sq / Woolwich Arsenal Stn
301,https://tfl.gov.uk/bus/route/301?direction=inbound,inbound,Woolwich,Market Place
302,https://tfl.gov.uk/bus/route/302?direction=inbound,inbound,Kensal Rise Station,Mill Hill Broadway Station
303,https://tfl.gov.uk/bus/route/303?direction=inbound,inbound,Kingsbury Circle,Edgware Station
304,https://tfl.gov.uk/bus/route/304?direction=outbound,outbound,Custom House Station,Manor Park / Gladding Road
302,https://tfl.gov.uk/bus/route/302?direction=outbound,outbound,Mill Hill Broadway Station,Kensal Rise Station
303,https://tfl.gov.uk/bus/route/303?direction=outbound,outbound,Edgware Bus Station,Kingsbury Circle
304,https://tfl.gov.uk/bus/route/304?direction=inbound,inbound,Manor Park / Gladding Road,Custom House Station
306,https://tfl.gov.uk/bus/route/306?direction=outbound,outbound,Second Avenue,Sands End / Sainsbury's
306,https://tfl.gov.uk/bus/route/306?direction=inbound,inbound,Sands End / Sainsbury's,Acton Vale / Bromyard Avenue
307,https://tfl.gov.uk/bus/route/307?direction=outbound,outbound,Brimsdown Station,Barnet Hospital
307,https://tfl.gov.uk/bus/route/307?direction=inbound,inbound,Barnet Hospital,Brimsdown Station
308,https://tfl.gov.uk/bus/route/308?direction=outbound,outbound,Woodbine Place,Lea Bridge Roundabout
308,https://tfl.gov.uk/bus/route/308?direction=inbound,inbound,Lea Bridge Road / Upper Clapton Road,Woodbine Place
309,https://tfl.gov.uk/bus/route/309?direction=outbound,outbound,Canning Town Bus Station,Bonner Road
309,https://tfl.gov.uk/bus/route/309?direction=inbound,inbound,Bonner Road,Canning Town Station
310,https://tfl.gov.uk/bus/route/310?direction=inbound,inbound,Golders Green Station,Stamford Hill
310,https://tfl.gov.uk/bus/route/310?direction=outbound,outbound,Stamford Hill Broadway,Golders Green Station
312,https://tfl.gov.uk/bus/route/312?direction=outbound,outbound,Canons Hill,Norwood Junction Station
312,https://tfl.gov.uk/bus/route/312?direction=inbound,inbound,Norwood Junction Station,Canons Hill
313,https://tfl.gov.uk/bus/route/313?direction=outbound,outbound,Chingford Station,Dame Alice Owen's School
313,https://tfl.gov.uk/bus/route/313?direction=inbound,inbound,Dame Alice Owen's School,Chingford Station
314,https://tfl.gov.uk/bus/route/314?direction=inbound,inbound,New Addington Tram Stop,Eltham Bus Station
314,https://tfl.gov.uk/bus/route/314?direction=outbound,outbound,Eltham Bus Station,Salcot Crescent
315,https://tfl.gov.uk/bus/route/315?direction=outbound,outbound,St Julian's Farm Road,Balham Station
315,https://tfl.gov.uk/bus/route/315?direction=inbound,inbound,Balham Station,Rothschild Street
316,https://tfl.gov.uk/bus/route/316?direction=outbound,outbound,Brent Cross West Station,White City Bus Station
316,https://tfl.gov.uk/bus/route/316?direction=inbound,inbound,White City Bus Station,Brent Cross West Station
317,https://tfl.gov.uk/bus/route/317?direction=outbound,outbound,Waltham Cross Bus Station,Little Park Gardens
317,https://tfl.gov.uk/bus/route/317?direction=inbound,inbound,Little Park Gardens,Waltham Cross Bus Station
318,https://tfl.gov.uk/bus/route/318?direction=outbound,outbound,North Middlesex Hospital,Rookwood Road
318,https://tfl.gov.uk/bus/route/318?direction=inbound,inbound,Rookwood Road,North Middlesex Hospital
319,https://tfl.gov.uk/bus/route/319?direction=outbound,outbound,Telford Avenue,Cadogan Gardens / Sloane Square
319,https://tfl.gov.uk/bus/route/319?direction=inbound,inbound,Sloane Square Station,Telford Avenue
320,https://tfl.gov.uk/bus/route/320?direction=outbound,outbound,Biggin Hill Valley,Catford Bridge Station
321,https://tfl.gov.uk/bus/route/321?direction=outbound,outbound,Foots Cray Tesco,New Cross Sainsbury's
321,https://tfl.gov.uk/bus/route/321?direction=inbound,inbound,New Cross Sainsbury's,Foots Cray Tesco
320,https://tfl.gov.uk/bus/route/320?direction=inbound,inbound,Thomas Lane,Biggin Hill Valley
322,https://tfl.gov.uk/bus/route/322?direction=outbound,outbound,Crystal Palace Bus Station,The Pavement
323,https://tfl.gov.uk/bus/route/323?direction=outbound,outbound,Canning Town Bus Station,Mile End Station
323,https://tfl.gov.uk/bus/route/323?direction=inbound,inbound,Mile End Station / Bow Road,Canning Town Station
324,https://tfl.gov.uk/bus/route/324?direction=inbound,inbound,Tesco Brent Cross,Centennial Park
322,https://tfl.gov.uk/bus/route/322?direction=inbound,inbound,The Pavement,Crystal Palace Parade
324,https://tfl.gov.uk/bus/route/324?direction=outbound,outbound,Centennial Park,Tesco Brent Cross
325,https://tfl.gov.uk/bus/route/325?direction=inbound,inbound,Prince Regent Bus Station,East Beckton / Sainsbury's
326,https://tfl.gov.uk/bus/route/326?direction=inbound,inbound,Brent Cross Shopping Centre,The Spires
326,https://tfl.gov.uk/bus/route/326?direction=outbound,outbound,The Spires,Brent Cross Shopping Centre
327,https://tfl.gov.uk/bus/route/327?direction=outbound,outbound,Waltham Cross Bus Station,Cocker Road
327,https://tfl.gov.uk/bus/route/327?direction=inbound,inbound,Cocker Road,Waltham Cross Bus Station
325,https://tfl.gov.uk/bus/route/325?direction=outbound,outbound,East Beckton / Sainsbury's,Prince Regent Bus Station
328,https://tfl.gov.uk/bus/route/328?direction=inbound,inbound,Limerston Street,Golders Green Station
329,https://tfl.gov.uk/bus/route/329?direction=inbound,inbound,Turnpike Lane Bus Station,Little Park Gardens
329,https://tfl.gov.uk/bus/route/329?direction=outbound,outbound,Little Park Gardens,Turnpike Lane Station
330,https://tfl.gov.uk/bus/route/330?direction=outbound,outbound,Wanstead Park Station,Thames Barrier
330,https://tfl.gov.uk/bus/route/330?direction=inbound,inbound,Thames Barrier,Wanstead Park Station
328,https://tfl.gov.uk/bus/route/328?direction=outbound,outbound,Golders Green Station,Chelsea Worlds End
331,https://tfl.gov.uk/bus/route/331?direction=outbound,outbound,Ruislip Station,Belmont Road
331,https://tfl.gov.uk/bus/route/331?direction=inbound,inbound,Uxbridge Station,Ruislip Station
333,https://tfl.gov.uk/bus/route/333?direction=outbound,outbound,Mitcham Road / Tooting Broadway Stn,Elephant & Castle / Newington Causeway
333,https://tfl.gov.uk/bus/route/333?direction=inbound,inbound,Elephant & Castle / Newington Causeway,Tooting Broadway Station
335,https://tfl.gov.uk/bus/route/335?direction=outbound,outbound,Wingfield School,North Greenwich Station
335,https://tfl.gov.uk/bus/route/335?direction=inbound,inbound,North Greenwich Station,Wingfield School
336,https://tfl.gov.uk/bus/route/336?direction=outbound,outbound,Thomas Lane,Locksbottom / Pallant Way
336,https://tfl.gov.uk/bus/route/336?direction=inbound,inbound,Locksbottom / Pallant Way,Catford Bridge Station
337,https://tfl.gov.uk/bus/route/337?direction=inbound,inbound,Richmond Bus Station,Bolingbroke Grove
337,https://tfl.gov.uk/bus/route/337?direction=outbound,outbound,Northcote Road,Richmond Bus Station
339,https://tfl.gov.uk/bus/route/339?direction=inbound,inbound,Shadwell Station,Leytonstone Station / Grove Green Road
340,https://tfl.gov.uk/bus/route/340?direction=outbound,outbound,Edgware Station,Harrow Bus Station
340,https://tfl.gov.uk/bus/route/340?direction=inbound,inbound,Harrow Bus Station,Edgware Station
341,https://tfl.gov.uk/bus/route/341?direction=outbound,outbound,Meridian Water Station,Waterloo Station / Waterloo Road
341,https://tfl.gov.uk/bus/route/341?direction=inbound,inbound,Waterloo Station / Waterloo Road,Meridian Water Station
339,https://tfl.gov.uk/bus/route/339?direction=outbound,outbound,Leytonstone Stn / Grove Green Road,Shadwell Station
343,https://tfl.gov.uk/bus/route/343?direction=outbound,outbound,Aldgate Station,New Cross / Jerningham Road
344,https://tfl.gov.uk/bus/route/344?direction=inbound,inbound,Liverpool Street Station,Clapham Junction Station
343,https://tfl.gov.uk/bus/route/343?direction=inbound,inbound,New Cross / Jerningham Road,Aldgate Station
344,https://tfl.gov.uk/bus/route/344?direction=outbound,outbound,Clapham Junction Station,Liverpool Street Station
345,https://tfl.gov.uk/bus/route/345?direction=inbound,inbound,Natural History Museum / Cromwell Road,Peckham Bus Station
346,https://tfl.gov.uk/bus/route/346?direction=inbound,inbound,Lexington Way,Dagnam Park Square
347,https://tfl.gov.uk/bus/route/347?direction=outbound,outbound,Romford Station,Ockendon Station
346,https://tfl.gov.uk/bus/route/346?direction=outbound,outbound,Dagnam Park Square,Lexington Way
347,https://tfl.gov.uk/bus/route/347?direction=inbound,inbound,Ockendon Station,Romford Station
345,https://tfl.gov.uk/bus/route/345?direction=outbound,outbound,Peckham Bus Station,Natural History Museum / Cromwell Road
349,https://tfl.gov.uk/bus/route/349?direction=outbound,outbound,Glyn Road,Rookwood Road
350,https://tfl.gov.uk/bus/route/350?direction=outbound,outbound,Millington Road,Heathrow Terminal 5
350,https://tfl.gov.uk/bus/route/350?direction=inbound,inbound,Heathrow Terminal 5,Fairey Corner
352,https://tfl.gov.uk/bus/route/352?direction=outbound,outbound,Bromley North Station,Bell Green / Sainsbury's
349,https://tfl.gov.uk/bus/route/349?direction=inbound,inbound,Rookwood Road,Glyn Road
353,https://tfl.gov.uk/bus/route/353?direction=outbound,outbound,Ramsden Estate / Rye Crescent,Markfield
353,https://tfl.gov.uk/bus/route/353?direction=inbound,inbound,Selsdon Wood Nature Reserve,Ramsden Estate / Rye Crescent
352,https://tfl.gov.uk/bus/route/352?direction=inbound,inbound,Bell Green / Sainsbury's,Bromley North Station
354,https://tfl.gov.uk/bus/route/354?direction=outbound,outbound,High Street / Maple Road,Bromley North Station
355,https://tfl.gov.uk/bus/route/355?direction=outbound,outbound,Three Kings Pond,Brixton Station
354,https://tfl.gov.uk/bus/route/354?direction=inbound,inbound,Bromley North Station,High Street / Maple Road
355,https://tfl.gov.uk/bus/route/355?direction=inbound,inbound,Brixton Road / Brixton Police Station,Madeira Road
356,https://tfl.gov.uk/bus/route/356?direction=outbound,outbound,Sydenham Hill / Kirkdale,Wickham Road
357,https://tfl.gov.uk/bus/route/357?direction=outbound,outbound,Chingdale Road,Whipps Cross Bus Stand
357,https://tfl.gov.uk/bus/route/357?direction=inbound,inbound,Whipps Cross Hospital / A & E,Hatch Lane
358,https://tfl.gov.uk/bus/route/358?direction=outbound,outbound,Orpington Bus Station,Crystal Palace Parade
358,https://tfl.gov.uk/bus/route/358?direction=inbound,inbound,Crystal Palace Bus Station,Orpington Station
356,https://tfl.gov.uk/bus/route/356?direction=inbound,inbound,Wickham Road / Monks Orchard,Sydenham Hill / Kirkdale
359,https://tfl.gov.uk/bus/route/359?direction=outbound,outbound,Purley / Downlands Precinct,Addington Village Interchange
360,https://tfl.gov.uk/bus/route/360?direction=outbound,outbound,Elephant & Castle / Newington Causeway,Prince Consort Road / Imperial College
360,https://tfl.gov.uk/bus/route/360?direction=inbound,inbound,Prince Consort Road,Elephant & Castle / Newington Causeway
362,https://tfl.gov.uk/bus/route/362?direction=outbound,outbound,Manor Road,King George Hospital
363,https://tfl.gov.uk/bus/route/363?direction=outbound,outbound,Crystal Palace Parade,Lambeth Road
363,https://tfl.gov.uk/bus/route/363?direction=inbound,inbound,Elephant & Castle / London Road,Crystal Palace Parade
359,https://tfl.gov.uk/bus/route/359?direction=inbound,inbound,Addington Village Interchange,Purley High Street
364,https://tfl.gov.uk/bus/route/364?direction=outbound,outbound,Hainault Street,Ballards Road
365,https://tfl.gov.uk/bus/route/365?direction=outbound,outbound,South Street,Havering Park
364,https://tfl.gov.uk/bus/route/364?direction=inbound,inbound,Ballards Road,Hainault Street
365,https://tfl.gov.uk/bus/route/365?direction=inbound,inbound,Havering Park,South Street
366,https://tfl.gov.uk/bus/route/366?direction=outbound,outbound,Falmouth Gardens,Beckton Bus Station
362,https://tfl.gov.uk/bus/route/362?direction=inbound,inbound,King George Hospital,Manor Road / Grange Hill Station
366,https://tfl.gov.uk/bus/route/366?direction=inbound,inbound,Beckton Bus Station,Falmouth Gardens
368,https://tfl.gov.uk/bus/route/368?direction=outbound,outbound,Wangey Road,Harts Lane Estate
367,https://tfl.gov.uk/bus/route/367?direction=inbound,inbound,Bromley North Station,Delta Point
367,https://tfl.gov.uk/bus/route/367?direction=outbound,outbound,West Croydon Bus Station,Bromley North Station
368,https://tfl.gov.uk/bus/route/368?direction=inbound,inbound,Harts Lane Estate,Wangey Road
371,https://tfl.gov.uk/bus/route/371?direction=inbound,inbound,Kingston Hall Road,Manor Road / Sainsbury's
372,https://tfl.gov.uk/bus/route/372?direction=outbound,outbound,Hornchurch Town Centre,Lakeside Bus Station
370,https://tfl.gov.uk/bus/route/370?direction=outbound,outbound,Mercury Gardens,Lakeside Bus Station
372,https://tfl.gov.uk/bus/route/372?direction=inbound,inbound,Lakeside Bus Station,Hornchurch Town Centre
371,https://tfl.gov.uk/bus/route/371?direction=outbound,outbound,Manor Road / Sainsbury's,Kingston Hall Road
370,https://tfl.gov.uk/bus/route/370?direction=inbound,inbound,Lakeside Bus Station,Mercury Gardens
375,https://tfl.gov.uk/bus/route/375?direction=outbound,outbound,Romford Station,Passingford Bridge
375,https://tfl.gov.uk/bus/route/375?direction=inbound,inbound,Passingford Bridge,Romford Station
376,https://tfl.gov.uk/bus/route/376?direction=outbound,outbound,Beckton Bus Station,Newham Town Hall
376,https://tfl.gov.uk/bus/route/376?direction=inbound,inbound,Newham Town Hall,Beckton Bus Station
377,https://tfl.gov.uk/bus/route/377?direction=outbound,outbound,Glyn Road,Oakwood Station
378,https://tfl.gov.uk/bus/route/378?direction=outbound,outbound,Mortlake Bus Station,Putney Bridge
377,https://tfl.gov.uk/bus/route/377?direction=inbound,inbound,Oakwood Station,Glyn Road
378,https://tfl.gov.uk/bus/route/378?direction=inbound,inbound,Putney Bridge,Mortlake Bus Station
379,https://tfl.gov.uk/bus/route/379?direction=outbound,outbound,Chingford Station,Yardley Lane Estate
379,https://tfl.gov.uk/bus/route/379?direction=inbound,inbound,Yardley Lane Estate,Chingford Station
380,https://tfl.gov.uk/bus/route/380?direction=outbound,outbound,Belmarsh Prison,Molesworth Street
380,https://tfl.gov.uk/bus/route/380?direction=inbound,inbound,Molesworth Street / Riverdale House,Belmarsh Prison
381,https://tfl.gov.uk/bus/route/381?direction=outbound,outbound,Peckham Bus Station,County Hall
381,https://tfl.gov.uk/bus/route/381?direction=inbound,inbound,County Hall,Peckham Bus Station
382,https://tfl.gov.uk/bus/route/382?direction=outbound,outbound,Southgate Station,Millbrook Park
382,https://tfl.gov.uk/bus/route/382?direction=inbound,inbound,Royal Engineers Way,Southgate Station
383,https://tfl.gov.uk/bus/route/383?direction=inbound,inbound,Finchley Memorial Hospital,The Spires
384,https://tfl.gov.uk/bus/route/384?direction=outbound,outbound,Edgware Bus Station,Cockfosters Station
384,https://tfl.gov.uk/bus/route/384?direction=inbound,inbound,Cockfosters Station,Edgware Station
386,https://tfl.gov.uk/bus/route/386?direction=outbound,outbound,Woolwich High Street,Royal Parade
383,https://tfl.gov.uk/bus/route/383?direction=outbound,outbound,The Spires,Finchley Memorial Hospital
386,https://tfl.gov.uk/bus/route/386?direction=inbound,inbound,Royal Parade,Woolwich Arsenal Station
385,https://tfl.gov.uk/bus/route/385?direction=outbound,outbound,Chingford Station,Salisbury Hall Sainsbury's
388,https://tfl.gov.uk/bus/route/388?direction=outbound,outbound,Stratford City Bus Station,London Bridge Bus Station
389,https://tfl.gov.uk/bus/route/389?direction=outbound,outbound,The Spires,Western Way
390,https://tfl.gov.uk/bus/route/390?direction=outbound,outbound,Archway Station,Victoria Bus Station
385,https://tfl.gov.uk/bus/route/385?direction=inbound,inbound,Salisbury Hall Sainsbury's,Chingford Station
390,https://tfl.gov.uk/bus/route/390?direction=inbound,inbound,Victoria Bus Station,Archway Station
393,https://tfl.gov.uk/bus/route/393?direction=inbound,inbound,The Roundhouse,Lea Bridge Roundabout
393,https://tfl.gov.uk/bus/route/393?direction=outbound,outbound,Upper Clapton Road / Brooke Road,Chalk Farm Road / Morrisons
394,https://tfl.gov.uk/bus/route/394?direction=outbound,outbound,Homerton Hospital / Wardle Street,Tolpuddle St / Islington Police Station
395,https://tfl.gov.uk/bus/route/395?direction=outbound,outbound,Harrow Bus Station,Westway Cross Retail Park
389,https://tfl.gov.uk/bus/route/389?direction=inbound,inbound,Western Way,The Spires
394,https://tfl.gov.uk/bus/route/394?direction=inbound,inbound,Liverpool Road / Chapel Market,Homerton Hospital
388,https://tfl.gov.uk/bus/route/388?direction=inbound,inbound,London Bridge Bus Station,Stratford City Bus Station
396,https://tfl.gov.uk/bus/route/396?direction=outbound,outbound,King George Hospital,Roden Street
396,https://tfl.gov.uk/bus/route/396?direction=inbound,inbound,Roden Street,King George Hospital
397,https://tfl.gov.uk/bus/route/397?direction=outbound,outbound,Salisbury Hall Sainsbury's,The Broadway
398,https://tfl.gov.uk/bus/route/398?direction=outbound,outbound,Ruislip Station,Hemery Road
398,https://tfl.gov.uk/bus/route/398?direction=inbound,inbound,Hemery Road,Ruislip Station
399,https://tfl.gov.uk/bus/route/399?direction=outbound,outbound,The Spires,Hadley Wood Station
397,https://tfl.gov.uk/bus/route/397?direction=inbound,inbound,The Broadway,Salisbury Hall Sainsbury's
399,https://tfl.gov.uk/bus/route/399?direction=inbound,inbound,Hadley Wood Station,The Spires
395,https://tfl.gov.uk/bus/route/395?direction=inbound,inbound,Westway Cross Retail Park,Harrow Bus Station
401,https://tfl.gov.uk/bus/route/401?direction=inbound,inbound,Bexleyheath Clock Tower,Anderson Way
401,https://tfl.gov.uk/bus/route/401?direction=outbound,outbound,Thamesmead Town Centre,Anderson Way
403,https://tfl.gov.uk/bus/route/403?direction=inbound,inbound,West Croydon Bus Station,Warlingham / Sainsbury's
403,https://tfl.gov.uk/bus/route/403?direction=outbound,outbound,Warlingham / Sainsbury's,West Croydon Bus Station
404,https://tfl.gov.uk/bus/route/404?direction=inbound,inbound,Westway,Crawford Crescent
405,https://tfl.gov.uk/bus/route/405?direction=outbound,outbound,Redhill Bus Station,Park Street
405,https://tfl.gov.uk/bus/route/405?direction=inbound,inbound,Park Street,Redhill Bus Station
406,https://tfl.gov.uk/bus/route/406?direction=outbound,outbound,Cromwell Road Bus Station,Epsom High Street
406,https://tfl.gov.uk/bus/route/406?direction=inbound,inbound,Epsom Hospital,Eden Street
407,https://tfl.gov.uk/bus/route/407?direction=outbound,outbound,Sutton / Marshall's Road,Caterham Valley
407,https://tfl.gov.uk/bus/route/407?direction=inbound,inbound,Caterham Valley,Sutton / Marshall's Road
410,https://tfl.gov.uk/bus/route/410?direction=inbound,inbound,Shotfield,Crystal Palace Parade
411,https://tfl.gov.uk/bus/route/411?direction=inbound,inbound,Central Square,Kingston / Wood Street
412,https://tfl.gov.uk/bus/route/412?direction=inbound,inbound,Park Street,Purley High Street
411,https://tfl.gov.uk/bus/route/411?direction=outbound,outbound,Kingston Station,Central Square
404,https://tfl.gov.uk/bus/route/404?direction=outbound,outbound,Crawford Crescent,Westway
413,https://tfl.gov.uk/bus/route/413?direction=outbound,outbound,Sutton Bus Garage,Morden Station
410,https://tfl.gov.uk/bus/route/410?direction=outbound,outbound,Crystal Palace Bus Station,Shotfield
412,https://tfl.gov.uk/bus/route/412?direction=outbound,outbound,Purley / Downlands Precinct,Park Street
413,https://tfl.gov.uk/bus/route/413?direction=inbound,inbound,London Road / Morden Station,Sutton Bus Garage
414,https://tfl.gov.uk/bus/route/414?direction=outbound,outbound,Putney Bridge Station,Marble Arch
415,https://tfl.gov.uk/bus/route/415?direction=outbound,outbound,Hardel Rise,Dunton Road
417,https://tfl.gov.uk/bus/route/417?direction=outbound,outbound,Crystal Palace Bus Station,Omnibus Clapham
418,https://tfl.gov.uk/bus/route/418?direction=outbound,outbound,Cromwell Road Bus Station,Epsom Station
418,https://tfl.gov.uk/bus/route/418?direction=inbound,inbound,Epsom Clock Tower,Eden Street
415,https://tfl.gov.uk/bus/route/415?direction=inbound,inbound,Dunton Road,Tulse Hill Station
414,https://tfl.gov.uk/bus/route/414?direction=inbound,inbound,Marble Arch Station / Park Lane,Putney Bridge Station
419,https://tfl.gov.uk/bus/route/419?direction=outbound,outbound,George Street,Norley Vale
417,https://tfl.gov.uk/bus/route/417?direction=inbound,inbound,Wingate Square,Crystal Palace Parade
422,https://tfl.gov.uk/bus/route/422?direction=outbound,outbound,North Greenwich Station,Bexleyheath Clock Tower
422,https://tfl.gov.uk/bus/route/422?direction=inbound,inbound,Bexleyheath Clock Tower,North Greenwich Station
423,https://tfl.gov.uk/bus/route/423?direction=outbound,outbound,School Road,Heathrow Terminal 5
424,https://tfl.gov.uk/bus/route/424?direction=outbound,outbound,Putney Heath / Green Man,Stevenage Road / Fulham Football Club
423,https://tfl.gov.uk/bus/route/423?direction=inbound,inbound,Heathrow Terminal 5,Hounslow Bus Station
424,https://tfl.gov.uk/bus/route/424?direction=inbound,inbound,Stevenage Road / Fulham Football Club,Putney Heath / Green Man
419,https://tfl.gov.uk/bus/route/419?direction=inbound,inbound,Norley Vale,Richmond Bus Station
425,https://tfl.gov.uk/bus/route/425?direction=outbound,outbound,Hainault Street,Kenninghall Road
425,https://tfl.gov.uk/bus/route/425?direction=inbound,inbound,Nightingale Road,Hainault Street
427,https://tfl.gov.uk/bus/route/427?direction=inbound,inbound,The Green,York Road
427,https://tfl.gov.uk/bus/route/427?direction=outbound,outbound,York Road,Bridge Road
428,https://tfl.gov.uk/bus/route/428?direction=inbound,inbound,Bluewater Shopping Centre,Erith Town Centre / Riverside
428,https://tfl.gov.uk/bus/route/428?direction=outbound,outbound,Erith Town Centre / Cross Street,Bluewater Shopping Centre
430,https://tfl.gov.uk/bus/route/430?direction=outbound,outbound,Danebury Avenue / Minstead Gardens,Victoria & Albert Museum
430,https://tfl.gov.uk/bus/route/430?direction=inbound,inbound,Victoria & Albert Museum,Minstead Gardens
432,https://tfl.gov.uk/bus/route/432?direction=outbound,outbound,Brixton Road / Brixton Police Station,Jasmine Grove
