lineNo,url,direction,from,to
34,https://tfl.gov.uk/bus/route/34?direction=outbound,outbound,Barnet High Street / Barnet Church,Walthamstow Central Station
47,https://tfl.gov.uk/bus/route/47?direction=inbound,inbound,Shoreditch High Street Station,Catford Garage
15,https://tfl.gov.uk/bus/route/15?direction=inbound,inbound,Charing Cross Stn / Trafalgar Square,Blackwall Station
47,https://tfl.gov.uk/bus/route/47?direction=outbound,outbound,Newquay Road,Shoreditch
52,https://tfl.gov.uk/bus/route/52?direction=inbound,inbound,Pound Lane / Willesden Bus Garage,Victoria Bus Station
54,https://tfl.gov.uk/bus/route/54?direction=outbound,outbound,Elmers End Interchange,Plumstead Road / Burrage Road
40,https://tfl.gov.uk/bus/route/40?direction=outbound,outbound,Dulwich / the Plough,Clerkenwell Road
53,https://tfl.gov.uk/bus/route/53?direction=inbound,inbound,Lower Marsh,Griffin Road / Plumstead Station
50,https://tfl.gov.uk/bus/route/50?direction=inbound,inbound,Stockwell Station / Clapham Road,Fairfield Halls
55,https://tfl.gov.uk/bus/route/55?direction=outbound,outbound,Walthamstow Bus Station,Great Titchfield St / Oxford Circus Stn
54,https://tfl.gov.uk/bus/route/54?direction=inbound,inbound,Woolwich,Elmers End Interchange
55,https://tfl.gov.uk/bus/route/55?direction=inbound,inbound,Holles Street,Walthamstow Bus Station
56,https://tfl.gov.uk/bus/route/56?direction=outbound,outbound,Whipps Cross Bus Stand,St. Bartholomew's Hospital
56,https://tfl.gov.uk/bus/route/56?direction=inbound,inbound,St Bartholomew's Hospital,Whipps Cross Bus Stand
57,https://tfl.gov.uk/bus/route/57?direction=outbound,outbound,Fairfield Bus Station,Atkins Road / New Park Road
57,https://tfl.gov.uk/bus/route/57?direction=inbound,inbound,Poynders Road / Kings Avenue,Fairfield Bus Station
58,https://tfl.gov.uk/bus/route/58?direction=outbound,outbound,East Ham / Central Park,Walthamstow Bus Station
58,https://tfl.gov.uk/bus/route/58?direction=inbound,inbound,Walthamstow Bus Station,East Ham / Central Park
59,https://tfl.gov.uk/bus/route/59?direction=outbound,outbound,Telford Avenue,St Bartholomew's Hospital
59,https://tfl.gov.uk/bus/route/59?direction=inbound,inbound,St Bartholomew's Hospital,Streatham Hill / Telford Avenue
60,https://tfl.gov.uk/bus/route/60?direction=inbound,inbound,Streatham Station,Old Coulsdon / Tudor Rose
61,https://tfl.gov.uk/bus/route/61?direction=outbound,outbound,Chislehurst / Gordon Arms,Bromley North Station
61,https://tfl.gov.uk/bus/route/61?direction=inbound,inbound,Bromley North Station,Chislehurst / Gordon Arms
62,https://tfl.gov.uk/bus/route/62?direction=outbound,outbound,Marks Gate / Billet Road,Gascoigne Estate
62,https://tfl.gov.uk/bus/route/62?direction=inbound,inbound,Gascoigne Estate,Marks Gate / Billet Road
63,https://tfl.gov.uk/bus/route/63?direction=outbound,outbound,Therapia Road,King's Cross Station / York Way
64,https://tfl.gov.uk/bus/route/64?direction=outbound,outbound,Thornton Heath Pond,Vulcan Way
64,https://tfl.gov.uk/bus/route/64?direction=inbound,inbound,Vulcan Way,Thornton Heath Pond
65,https://tfl.gov.uk/bus/route/65?direction=outbound,outbound,Brook Street,Ealing Broadway Station
65,https://tfl.gov.uk/bus/route/65?direction=inbound,inbound,Ealing Broadway Station,Brook Street
60,https://tfl.gov.uk/bus/route/60?direction=outbound,outbound,Oasis Academy,Streatham Station
66,https://tfl.gov.uk/bus/route/66?direction=outbound,outbound,Romford Station,Leytonstone Station
66,https://tfl.gov.uk/bus/route/66?direction=inbound,inbound,Leytonstone Station,Romford Station
63,https://tfl.gov.uk/bus/route/63?direction=inbound,inbound,St Pancras International Station,Therapia Road
67,https://tfl.gov.uk/bus/route/67?direction=outbound,outbound,Lordship Lane,Forest Road
67,https://tfl.gov.uk/bus/route/67?direction=inbound,inbound,Dalston Junction Station,Wood Green Station
68,https://tfl.gov.uk/bus/route/68?direction=outbound,outbound,St Julian's Farm Road,Euston Bus Station
68,https://tfl.gov.uk/bus/route/68?direction=inbound,inbound,Euston Station,Ernest Avenue
69,https://tfl.gov.uk/bus/route/69?direction=outbound,outbound,Walthamstow Bus Station,Canning Town Station
69,https://tfl.gov.uk/bus/route/69?direction=inbound,inbound,Canning Town Bus Station,Walthamstow Bus Station
70,https://tfl.gov.uk/bus/route/70?direction=outbound,outbound,Chiswick Business Park,Queensberry Place
70,https://tfl.gov.uk/bus/route/70?direction=inbound,inbound,South Kensington Station,Chiswick Business Park
71,https://tfl.gov.uk/bus/route/71?direction=outbound,outbound,Chessington World of Adventures,Eden Street
72,https://tfl.gov.uk/bus/route/72?direction=outbound,outbound,Brunel Road,Hammersmith Bridge Road
72,https://tfl.gov.uk/bus/route/72?direction=inbound,inbound,Hammersmith Bridge Road,Brunel Road
73,https://tfl.gov.uk/bus/route/73?direction=outbound,outbound,Holles Street,Stoke Newington Common
73,https://tfl.gov.uk/bus/route/73?direction=inbound,inbound,Stoke Newington Common,Great Titchfield St / Oxford Circus Stn
74,https://tfl.gov.uk/bus/route/74?direction=outbound,outbound,Putney Exchange,Baker Street Station
71,https://tfl.gov.uk/bus/route/71?direction=inbound,inbound,Cromwell Road Bus Station,Chessington World of Adventures
74,https://tfl.gov.uk/bus/route/74?direction=inbound,inbound,Baker Street Station,Putney Exchange
75,https://tfl.gov.uk/bus/route/75?direction=inbound,inbound,Park Lane / Fairfield Halls,Lewisham Station
75,https://tfl.gov.uk/bus/route/75?direction=outbound,outbound,Lewisham Station,Fairfield Halls
76,https://tfl.gov.uk/bus/route/76?direction=outbound,outbound,Tottenham Hale Bus Station,Lower Marsh
76,https://tfl.gov.uk/bus/route/76?direction=inbound,inbound,Baylis Road / Lower Marsh,Tottenham Hale Bus Station
77,https://tfl.gov.uk/bus/route/77?direction=outbound,outbound,Waterloo Station / Upper Taxi Road,Tooting Station
77,https://tfl.gov.uk/bus/route/77?direction=inbound,inbound,Mitcham Road / Tooting Station,Waterloo Station / Upper Taxi Road
78,https://tfl.gov.uk/bus/route/78?direction=outbound,outbound,Shoreditch High Street Station,St Mary's Road
78,https://tfl.gov.uk/bus/route/78?direction=inbound,inbound,St Mary's Road,Curtain Road
79,https://tfl.gov.uk/bus/route/79?direction=outbound,outbound,Stonebridge Park Station,Edgware Station
79,https://tfl.gov.uk/bus/route/79?direction=inbound,inbound,Edgware Station,Stonebridge Park Station
80,https://tfl.gov.uk/bus/route/80?direction=outbound,outbound,Downview and Highdown Prisons,Reynolds Close
80,https://tfl.gov.uk/bus/route/80?direction=inbound,inbound,Reynolds Close,Downview and Highdown Prisons
81,https://tfl.gov.uk/bus/route/81?direction=outbound,outbound,Queensmere Centre,Hounslow Bus Station
81,https://tfl.gov.uk/bus/route/81?direction=inbound,inbound,School Road,Queensmere Shopping Centre
83,https://tfl.gov.uk/bus/route/83?direction=outbound,outbound,Golders Green Station,Glacier Way
83,https://tfl.gov.uk/bus/route/83?direction=inbound,inbound,Alperton Sainsbury's,Golders Green Station
85,https://tfl.gov.uk/bus/route/85?direction=outbound,outbound,Putney Bridge Station,Kingston Hall Road
86,https://tfl.gov.uk/bus/route/86?direction=inbound,inbound,Romford Station,Stratford Bus Station
85,https://tfl.gov.uk/bus/route/85?direction=inbound,inbound,Kingston Hall Road,Putney Bridge Station
86,https://tfl.gov.uk/bus/route/86?direction=outbound,outbound,Stratford Bus Station,Romford Station
87,https://tfl.gov.uk/bus/route/87?direction=inbound,inbound,Aldwych / Bush House,Wandsworth Plain
87,https://tfl.gov.uk/bus/route/87?direction=outbound,outbound,Wandsworth Plain,Aldwych / Drury Lane
88,https://tfl.gov.uk/bus/route/88?direction=outbound,outbound,Parliament Hill Fields,Omnibus Clapham
88,https://tfl.gov.uk/bus/route/88?direction=inbound,inbound,Wingate Square,Parliament Hill Fields
89,https://tfl.gov.uk/bus/route/89?direction=outbound,outbound,Lewisham Station,Forest Road / Slade Green Station
89,https://tfl.gov.uk/bus/route/89?direction=inbound,inbound,Forest Road / Slade Green Station,Lewisham Station
90,https://tfl.gov.uk/bus/route/90?direction=outbound,outbound,Northolt Station,Feltham Leisure West
91,https://tfl.gov.uk/bus/route/91?direction=outbound,outbound,Tottenham Lane Y M C A,Whitehall / Trafalgar Square
90,https://tfl.gov.uk/bus/route/90?direction=inbound,inbound,Feltham Leisure West,Northolt Station
91,https://tfl.gov.uk/bus/route/91?direction=inbound,inbound,Northumberland Avenue / Trafalgar Square,Rosebery Gardens
92,https://tfl.gov.uk/bus/route/92?direction=outbound,outbound,Ealing Hospital,Ikea Brent Park
